deepseek-coder-6.7b-base,gpt-3.5-turbo-0613,gpt-4o-2024-08-06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,0,1
1,1,1
0,0,0
0,1,1
0,1,1
0,1,0
0,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,1,1
0,1,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
1,1,0
0,1,0
1,1,0
1,1,0
0,0,1
1,1,1
1,1,1
1,1,1
0,1,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
0,1,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,0
1,0,1
0,0,1
0,0,0
1,0,0
1,1,1
0,1,1
1,1,1
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
1,0,0
0,1,1
0,0,1
0,1,1
1,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
1,0,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
1,1,1
1,1,1
0,1,0
0,0,1
0,0,1
0,0,0
1,1,1
1,0,1
1,0,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,0,1
0,0,1
0,1,0
0,0,1
0,0,0
0,1,1
0,0,1
0,0,1
1,0,0
1,0,1
1,1,1
1,0,1
0,0,0
1,1,1
1,1,0
1,0,1
0,0,0
1,0,1
0,1,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,1
1,1,1
0,0,0
0,1,1
1,0,1
0,0,1
0,1,1
0,0,1
1,1,1
1,1,1
1,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
1,1,1
0,1,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1,0,1
1,1,1
0,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,0,1
1,0,1
0,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,1,1
0,0,1
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,0
0,0,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,1,1
0,0,1
0,0,0
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
1,0,1
0,0,1
0,0,0
0,1,1
0,1,1
0,1,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
1,1,1
1,0,1
1,0,1
0,0,1
0,0,0
0,1,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,0
0,1,1
0,0,0
0,0,1
0,0,0
0,0,1
1,1,1
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
1,0,1
1,0,1
1,1,1
1,1,1
0,0,0
0,0,1
1,1,1
1,1,1
1,1,1
0,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
0,1,1
1,1,1
1,0,0
1,1,1
0,0,1
1,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,1,1
1,1,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
0,0,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,0
1,1,1
0,1,1
0,0,1
0,1,1
1,1,1
0,0,0
0,1,1
1,1,1
0,0,0
0,1,1
0,1,1
1,1,1
0,0,0
0,0,0
1,0,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,0,0
0,0,0
0,0,1
0,0,1
1,0,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
1,0,1
1,1,1
1,1,1
0,1,1
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
1,0,1
0,1,1
0,1,1
0,0,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,1
0,0,0
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,1,1
0,0,0
0,0,0
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
0,0,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,1,1
1,1,1
0,1,0
1,1,1
1,1,1
1,1,0
1,1,1
1,1,0
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,1,0
0,0,1
0,0,0
0,1,1
0,1,1
0,0,1
1,1,1
1,0,1
0,0,0
0,1,1
1,1,1
0,0,1
0,1,0
1,1,1
0,0,1
1,1,1
0,1,1
0,1,1
1,1,0
0,0,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
1,1,0
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
1,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
1,0,0
1,1,1
0,1,0
0,0,1
1,0,1
0,1,1
1,1,1
1,1,1
0,0,1
0,1,1
0,0,0
0,0,1
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
1,1,1
0,1,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,0
0,1,0
0,0,0
0,0,0
0,1,1
1,1,1
0,1,1
1,1,0
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,0,1
1,0,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,0
0,0,0
0,0,1
1,0,1
1,1,0
1,1,1
1,0,0
0,0,0
1,1,0
1,0,0
1,1,1
0,1,1
0,0,0
0,0,0
0,0,1
1,1,0
0,1,1
0,1,0
0,0,1
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,1,0
0,0,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
0,0,1
1,1,1
1,0,1
0,0,0
0,0,0
0,1,0
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,1,0
0,1,0
0,0,0
1,0,0
1,0,1
1,0,1
1,1,1
0,0,0
0,0,0
1,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,1,1
1,0,1
0,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
1,0,1
1,1,1
0,0,0
1,1,1
1,1,1
0,0,1
0,0,1
1,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
1,1,1
1,0,1
0,1,1
0,1,1
0,1,1
1,1,0
0,0,0
0,1,1
0,0,0
1,1,1
0,1,1
0,1,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
1,1,1
1,0,0
1,1,1
0,0,1
0,0,0
0,0,1
0,0,0
0,1,1
0,0,0
1,0,1
0,0,1
1,1,1
0,0,1
0,0,0
0,1,1
0,0,0
0,0,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,1
0,0,1
0,1,1
0,0,0
0,1,1
1,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,1,1
0,0,1
1,1,1
0,1,1
0,1,1
0,1,1
1,1,0
0,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,1,1
0,0,1
1,0,1
0,0,0
0,1,1
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
